City,Brand,Model,ProdYear,BanType,Color,EngVol,EngPow,FuelType,RideDist,Gearbox,Transmission,Price,Credit,Barter,YungulLehimliDiskler,ABS,Lyuk,RainSensor,MerkeziQapanma,ParKRadar,Condisioner,SeatHeat,LeatherSalon,KsenonLamps,BackVisionCam,YanPerdeler,SeatVentilation
Bakı,Audi,A6,2015,Sedan,Qara,2.0,249,Benzin,150000,Avtomat,Tam,47260.0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Bakı,Audi,Q7,2018,Offroader / SUV,Boz,2.0,252,Benzin,60000,Avtomat,Tam,86700.0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Bakı,Audi,Q7,2011,Offroader / SUV,Qəhvəyi,3.0,333,Benzin,97000,Avtomat,Tam,43350.0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Bakı,Audi,A4,1999,Sedan,Göy,1.8,170,Benzin,330000,Mexaniki,Tam,6500.0,0,0,1,1,0,1,1,0,1,1,1,1,0,1,0
Bakı,Audi,Q7,2012,Offroader / SUV,Qara,3.0,333,Benzin,155000,Avtomat,Tam,45900.0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Bakı,Audi,Q7,2009,Offroader / SUV,Ağ,4.2,350,Benzin,174000,Avtomat,Tam,28300.0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Bakı,Audi,A6,2015,Sedan,Qara,2.0,252,Benzin,87000,Avtomat,Tam,49300.0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1
Bakı,Audi,A5,2013,Hetçbek / Liftbek,Qara,2.0,224,Benzin,148600,Avtomat,Tam,34850.0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0
Sumqayıt,Audi,A5,2013,Sedan,Qara,2.0,245,Benzin,149111,Avtomat,Tam,31960.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Şəmkir,Audi,A4,2008,Sedan,Göy,2.0,170,Benzin,14500,Avtomat,Ön,19200.0,0,0,1,1,0,1,1,1,1,1,0,1,0,1,1
Bakı,Audi,A8,2017,Sedan,Qara,4.0,425,Benzin,63000,Avtomat,Tam,113900.0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Bakı,Audi,A6,2016,Sedan,Göy,2.0,252,Benzin,54000,Avtomat,Arxa,54400.0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Bakı,Audi,Q7,2007,Offroader / SUV,Qara,3.0,238,Dizel,194500,Avtomat,Tam,30500.0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0
Bakı,Audi,A6,2002,Sedan,Qara,2.7,250,Benzin,340000,Avtomat,Tam,8900.0,0,0,1,1,1,0,1,1,1,1,1,1,0,1,0
Sumqayıt,Audi,A4,1998,Sedan,Ağ,1.8,150,Benzin,406060,Mexaniki,Ön,5900.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
Bakı,Audi,A4,2010,Hetçbek / Liftbek,Ağ,2.0,211,Benzin,101000,Avtomat,Tam,12000.0,0,0,1,1,1,0,1,0,1,1,1,0,0,0,0
Bakı,Audi,Q7,2018,Offroader / SUV,Göy,2.0,252,Benzin,39000,Avtomat,Tam,93500.0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Bakı,Audi,A4,2002,Sedan,Qara,2.4,170,Benzin,318000,Avtomat,Arxa,8000.0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0
Bakı,Audi,A6,2015,Sedan,Ağ,2.0,249,Benzin,70000,Avtomat,Tam,48450.0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Bakı,Audi,A4,2007,Sedan,Ağ,1.8,163,Benzin,197000,Avtomat,Ön,14800.0,0,0,1,1,0,1,1,1,1,1,0,1,0,1,0
Bakı,Audi,Q7,2019,Offroader / SUV,Göy,2.0,252,Benzin,36000,Avtomat,Tam,99450.0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0
Bakı,Audi,Q7,2008,Offroader / SUV,Qara,4.2,350,Benzin,191000,Avtomat,Tam,22500.0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Bakı,Audi,A4,2014,Sedan,Yaş Asfalt,1.8,170,Benzin,83000,Avtomat,Tam,31900.0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0
Bakı,Audi,A7,2018,Sedan,Qara,3.0,340,Benzin,25200,Avtomat,Tam,132090.0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Mingəçevir,Audi,Q7,2006,Offroader / SUV,Boz,4.2,350,Benzin,280000,Avtomat,Tam,22000.0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0
Bakı,Audi,A4,2015,Sedan,Qara,1.8,177,Benzin,85000,Avtomat,Ön,32900.0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1
Bakı,Audi,A6,2005,Sedan,Ağ,3.2,255,Benzin,230000,Avtomat,Tam,12500.0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1
Bakı,Audi,A6,2015,Sedan,Boz,2.0,252,Benzin,130000,Avtomat,Ön,49725.0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Bakı,Audi,A6,1998,Sedan,Çəhrayı,2.8,200,Benzin,270000,Avtomat,Tam,6500.0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Bakı,Audi,A7,2016,Hetçbek / Liftbek,Qara,2.0,252,Benzin,83000,Robotlaşdırılmış,Ön,60350.0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Bakı,Audi,A4,2005,Sedan,Qara,2.0,200,Benzin,105000,Avtomat,Arxa,11900.0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,0
Yevlax,Audi,Q7,2006,Offroader / SUV,Qara,4.2,350,Benzin,220000,Avtomat,Ön,19500.0,0,0,1,1,0,1,1,1,1,0,1,1,0,1,0
Bakı,Audi,A4,2002,Sedan,Göy,1.8,130,Benzin,260000,Avtomat,Tam,8700.0,0,0,1,1,0,1,1,0,1,1,1,1,1,1,1
Yevlax,Audi,A6,1997,Sedan,Qara,2.4,170,Benzin,353000,Avtomat,Ön,7999.0,0,0,1,1,0,1,1,0,1,1,1,1,1,1,0
Bakı,Audi,A8,2011,Sedan,Gümüşü,4.2,372,Benzin,147000,Avtomat,Tam,51850.0,0,0,1,1,0,1,1,1,1,1,1,1,1,0,1
Gəncə,Audi,A4,1998,Sedan,Gümüşü,2.0,170,Benzin,250000,Avtomat,Ön,6200.0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,1
Bakı,Audi,A7,2012,Hetçbek / Liftbek,Qara,3.0,290,Dizel,215000,Avtomat,Tam,34000.0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Bakı,Audi,Q7,2017,Offroader / SUV,Boz,2.0,252,Benzin,72000,Avtomat,Tam,83300.0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0
Sumqayıt,Audi,A4,2006,Sedan,Qara,2.0,210,Benzin,170000,Avtomat,Tam,12000.0,0,0,1,1,1,1,1,0,1,1,1,0,1,1,0
Bakı,Audi,A5,2013,Sedan,Qara,2.0,252,Benzin,98000,Avtomat,Ön,32300.0,0,1,1,1,1,0,1,1,1,1,1,1,0,0,0
Bakı,Audi,A7,2015,Sedan,Ağ,2.0,252,Benzin,100000,Avtomat,Ön,62050.0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Bakı,Audi,A6,2004,Sedan,Ağ,3.0,220,Benzin,555555,Avtomat,Tam,10500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bakı,Audi,A6,2017,Sedan,Qara,2.0,252,Benzin,93377,Avtomat,Arxa,50830.0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Bakı,Audi,A6,2014,Sedan,Ağ,3.0,333,Benzin,169000,Avtomat,Tam,36550.0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Bakı,Audi,A4,2013,Sedan,Boz,1.8,170,Benzin,84000,Avtomat,Ön,32300.0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0
Bakı,Audi,A4,2008,Sedan,Yaş Asfalt,2.0,211,Benzin,180000,Avtomat,Ön,13500.0,0,0,1,1,1,0,1,1,1,0,1,1,1,1,0
Bakı,Audi,Q7,2008,Offroader / SUV,Qara,4.2,350,Benzin,162676,Avtomat,Tam,22100.0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Bakı,Audi,A4,2003,Sedan,Ağ,2.4,170,Benzin,217000,Mexaniki,Ön,8700.0,0,1,1,1,1,1,1,1,1,0,1,0,0,1,0
Sumqayıt,Audi,A8,2000,Sedan,Göy,4.2,310,Benzin,245450,Avtomat,Tam,9800.0,0,1,1,1,1,0,1,1,1,1,1,1,0,1,0
Bakı,Audi,A4,2015,Sedan,Ağ,1.8,180,Benzin,73000,Avtomat,Arxa,33660.0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Bakı,Audi,Q7,2017,Offroader / SUV,Boz,3.0,333,Benzin,110500,Avtomat,Tam,79560.0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Bakı,Audi,Q7,2019,Offroader / SUV,Mavi,2.0,252,Benzin,14370,Avtomat,Tam,93500.0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0
Bakı,Audi,A6,2021,Sedan,Ağ,2.0,249,Benzin,0,Avtomat,Tam,116935.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Bakı,Audi,Q7,2007,Offroader / SUV,Qara,3.0,233,Dizel,267000,Avtomat,Tam,33000.0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Bakı,Audi,A7,2013,Offroader / SUV,Ağ,3.0,333,Benzin,150000,Avtomat,Tam,43350.0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1
Bakı,Audi,A4,2006,Sedan,Boz,2.0,170,Benzin,147285,Avtomat,Tam,11000.0,0,0,1,1,1,1,1,0,1,1,1,1,0,1,1
Bakı,Audi,Q7,2008,Offroader / SUV,Qara,4.2,350,Benzin,118000,Avtomat,Tam,35700.0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0
Bakı,Audi,A6,2004,Sedan,Gümüşü,3.2,224,Benzin,190000,Avtomat,Tam,14500.0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0
Bakı,Audi,A6,2020,Sedan,Boz,2.0,190,Benzin,0,Avtomat,Ön,106472.85,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Bakı,Audi,A8,2008,Sedan,Qara,4.2,350,Benzin,179000,Avtomat,Tam,32300.0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0
Bakı,Audi,A6,1998,Sedan,Qızılı,2.8,192,Benzin,290946,Avtomat,Ön,5800.0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0
Bakı,Audi,A7,2015,Hetçbek / Liftbek,Ağ,3.0,333,Benzin,48600,Avtomat,Tam,64600.0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Bakı,Audi,A4,2002,Sedan,Gümüşü,1.8,150,Benzin,290000,Avtomat,Tam,9900.0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1
Bakı,Audi,A8,2004,Sedan,Qara,4.2,350,Benzin,125000,Avtomat,Tam,8500.0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Gəncə,Audi,A6,2000,Sedan,Boz,2.8,193,Benzin,222000,Avtomat,Tam,10500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bakı,Audi,A6,2017,Sedan,Göy,2.0,252,Benzin,58000,Avtomat,Ön,55250.0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Bakı,Audi,Q7,2006,Offroader / SUV,Ağ,3.6,280,Benzin,223500,Avtomat,Tam,25700.0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1
Bakı,Audi,A7,2018,Hetçbek / Liftbek,Boz,3.0,340,Benzin,34000,Avtomat,Tam,124100.0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1
Salyan,Audi,A6,1999,Universal,Gümüşü,2.5,180,Dizel,335800,Avtomat,Ön,8500.0,0,1,1,1,0,0,1,0,1,1,0,1,0,0,0
Bakı,Audi,A7,2016,Hetçbek / Liftbek,Yaş Asfalt,3.0,333,Benzin,41320,Avtomat,Tam,70550.0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Gəncə,Audi,A6,2003,Sedan,Qara,3.0,220,Benzin,338000,Avtomat,Tam,8500.0,0,0,1,1,1,0,1,0,1,1,1,1,0,0,0
Bakı,Audi,A4,2013,Sedan,Boz,1.8,170,Benzin,208000,Avtomat,Ön,22950.0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1
Bakı,Audi,A4,2006,Sedan,Yaş Asfalt,2.0,200,Benzin,227000,Avtomat,Tam,11000.0,0,0,1,1,1,1,1,0,1,1,1,1,0,1,1
Bakı,Audi,Q7,2007,Offroader / SUV,Boz,3.0,240,Dizel,210000,Avtomat,Tam,26900.0,0,0,1,1,0,1,1,1,1,1,1,1,0,0,0
Bakı,Audi,A7,2016,Sedan,Qara,2.0,249,Benzin,145000,Avtomat,Tam,59500.0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Bakı,Audi,A6,2011,Sedan,Boz,3.0,333,Benzin,120000,Avtomat,Tam,31280.0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0
Bakı,Audi,A6,2015,Sedan,Ağ,2.0,252,Benzin,107000,Avtomat,Tam,45900.0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0
Bakı,Audi,A6,2013,Sedan,Qara,2.0,252,Benzin,189241,Avtomat,Ön,32810.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Bakı,Audi,A7,2016,Hetçbek / Liftbek,Boz,2.0,252,Benzin,32000,Avtomat,Tam,72250.0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0
Bakı,Audi,A4,2001,Sedan,Qara,1.8,150,Benzin,254992,Avtomat,Ön,7500.0,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1
Bakı,Audi,A7,2018,Hetçbek / Liftbek,Ağ,3.0,350,Benzin,69000,Avtomat,Ön,139400.0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Bakı,Audi,A4,2003,Sedan,Gümüşü,1.8,170,Benzin,240000,Avtomat,Ön,8500.0,0,0,1,1,1,1,1,0,1,0,1,0,0,0,0
Bakı,Audi,A4,2009,Sedan,Ağ,1.8,160,Benzin,43571,Avtomat,Ön,18500.0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Bakı,Audi,A5,2013,Sedan,Ağ,2.0,225,Benzin,121000,Avtomat,Tam,36210.0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0
Bakı,Audi,A8,2021,Sedan,Qara,4.0,460,Benzin,0,Avtomat,Tam,260540.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bakı,Audi,A6,2000,Universal,Gümüşü,2.5,150,Dizel,185000,Avtomat,Ön,7500.0,0,0,1,1,0,0,1,0,1,1,1,0,0,0,1
Bakı,Audi,A8,2013,Sedan,Qara,4.0,420,Benzin,32600,Avtomat,Tam,78200.0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Biləsuvar,Audi,Q7,2007,Offroader / SUV,Qara,4.2,350,Benzin,201355,Avtomat,Tam,23500.0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Bakı,Audi,A6,2017,Sedan,Göy,2.0,252,Benzin,56800,Avtomat,Ön,57630.0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0
Bakı,Audi,A6,2010,Sedan,Qara,3.0,333,Benzin,185000,Avtomat,Arxa,25500.0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1
Bakı,Audi,Q7,2016,Offroader / SUV,Ağ,3.0,333,Benzin,130000,Avtomat,Tam,79900.0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Bakı,Audi,Q7,2007,Offroader / SUV,Ağ,4.2,350,Benzin,150000,Avtomat,Tam,26600.0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Bakı,Audi,A4,2007,Sedan,Qara,2.0,130,Benzin,166000,Avtomat,Ön,11000.0,0,1,1,1,1,1,1,0,1,0,1,0,0,0,0
Gəncə,Audi,A4,2009,Sedan,Qara,2.0,252,Benzin,210000,Avtomat,Ön,11000.0,0,0,1,1,1,0,1,0,1,0,1,1,0,1,0
Ağdam,Audi,A6,2017,Sedan,Qara,2.0,252,Benzin,30120,Avtomat,Tam,68000.0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Bakı,Audi,A7,2018,Hetçbek / Liftbek,Yaş Asfalt,3.0,333,Benzin,34000,Avtomat,Tam,127160.0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Bakı,Audi,Q7,2013,Offroader / SUV,Ağ,3.0,333,Benzin,120000,Avtomat,Tam,46750.0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Bakı,Audi,Q7,2017,Offroader / SUV,Ağ,2.0,252,Benzin,59000,Avtomat,Tam,78200.0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Bakı,Audi,A6,2001,Sedan,Gümüşü,2.4,170,Benzin,403000,Mexaniki,Ön,7200.0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0
Bakı,Audi,Q7,2017,Offroader / SUV,Mavi,2.0,252,Benzin,71000,Avtomat,Tam,79900.0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0
Bakı,Audi,A4,2006,Sedan,Ağ,2.0,211,Benzin,191000,Avtomat,Ön,12500.0,0,0,1,1,1,0,1,0,1,0,1,1,0,0,0
Bakı,Audi,A7,2021,Hetçbek / Liftbek,Boz,2.0,245,Benzin,0,Avtomat,Tam,139502.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Bakı,Audi,A6,2017,Sedan,Göy,2.0,252,Benzin,82000,Avtomat,Tam,58480.0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Bakı,Audi,A6,2013,Sedan,Ağ,3.0,333,Benzin,137000,Avtomat,Tam,43350.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Bakı,Audi,Q7,2007,Offroader / SUV,Qara,4.2,350,Benzin,204000,Avtomat,Tam,21900.0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0
Bakı,Audi,A6,2015,Sedan,Ağ,3.0,333,Benzin,117000,Avtomat,Tam,51850.0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Bakı,Audi,A8,2021,Sedan,Qara,4.0,460,Benzin,0,Avtomat,Tam,244128.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Bakı,Audi,A8,2014,Sedan,Qara,3.0,290,Benzin,148000,Avtomat,Tam,59500.0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0
Bakı,Audi,A6,2008,Sedan,Qara,3.2,224,Benzin,205000,Avtomat,Ön,20000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
